Month,Year,Season,sample_num,harp_cope,Gam_amph,polycheate,cala_cope,decapod,Brachyuran,hyper_amph,Caprellidae,pteropod,isopoda,corphidae,shrimp,cumacea,euph_mysid,Tot_num_prey,Tot_wgt_prey
Aug,2020,Summer,277,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,208,0.0463
Aug,2020,Summer,282,4955.663794,0,0,0,0,0,0,0,0,0,5044.336206,0,0,0,51,0.0785
Aug,2020,Summer,284,210.978836,3698.412698,647.4867725,0,0,0,0,0,0,0,443.1216931,0,0,0,12,0.0945
Aug,2020,Summer,278,0,1936.412255,1420.18673,0,0,0,0,0,0,0,1222.126541,0,0,0,8,0.1379
Aug,2020,Summer,285,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,6,0.1862
Aug,2020,Summer,279,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,7,0.1519
Aug,2020,Summer,283,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,16,0.341
Aug,2020,Summer,269,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,10,0.4084
Aug,2020,Summer,275,540,0,0,0,0,0,0,9460,0,0,0,0,0,0,10,0.0125
Aug,2020,Summer,286,826.5925998,9173.4074,0,0,0,0,0,0,0,0,0,0,0,0,31,0.0993
Aug,2020,Summer,281,3143.512724,2794.639132,0,0,0,0,0,728.5148102,0,0,0,0,0,0,34,0.0376
Aug,2020,Summer,274,0,0,3296.79803,0,0,0,0,1056.650246,0,0,2313.218391,0,0,0,8,0.1015
Aug,2020,Summer,272,5166.666667,0,0,0,0,0,0,0,0,4833.333333,0,0,0,0,15,0.0042
Aug,2020,Summer,268,0,2562.695925,0,0,1509.926855,0,0,2594.043887,0,0,0,0,0,0,11,0.0696
Aug,2020,Summer,276,0,4707.006369,0,0,0,0,0,1577.494692,0,0,0,0,0,0,20,0.157
Aug,2020,Summer,273,0,5194.600675,770.1537308,0,0,0,0,0,0,0,0,0,701.912261,0,7,0.0635
Aug,2020,Summer,280,545.5002514,545.5002514,0,0,0,0,0,5575.666164,0,0,0,0,0,0,26,0.0306
Aug,2020,Summer,267,3819.03687,6180.96313,0,0,0,0,0,0,0,0,0,0,0,0,15,0.0886
Aug,2020,Summer,270,838.0681818,0,0,0,632.8914141,0,0,5195.707071,0,0,0,0,0,0,12,0.0704
Aug,2020,Summer,271,3016.891892,0,0,0,0,0,0,6983.108108,0,0,0,0,0,0,5,0.0296
Aug,2018,Summer,116,0,480,0,0,0,0,0,180,0,0,6006.666667,0,0,0,20,0.05
Aug,2018,Summer,117,0,834.8887852,0,0,0,0,0,1707.302846,0,4124.475035,0,0,0,0,8,0.2143
Aug,2018,Summer,118,1376.498801,74.99454981,2040.985394,0,0,0,0,0,0,0,74.99454981,0,432.5267059,0,33,0.0139
Aug,2018,Summer,119,0,194.3488239,0,0,134.10786,0,0,0,0,0,4447.07401,224.4693058,0,0,21,0.0166
Aug,2018,Summer,120,0,5906.695157,383.1908832,0,0,0,0,0,0,0,0,376.7806268,0,0,9,0.052
Aug,2018,Summer,121,0,0,0,0,0,0,0,0,0,0,20000,0,0,0,1,0.0148
Aug,2018,Summer,122,5871.345029,0,397.6608187,0,0,0,0,0,0,0,0,0,397.6608187,0,15,0.0019
Aug,2018,Summer,124,0,8130.881378,0,0,0,0,0,0,0,1869.118622,0,0,0,0,15,0.1006
Aug,2018,Summer,125,2825.136895,0,3418.493375,0,0,0,0,0,0,423.036396,0,0,0,0,23,0.1678
Aug,2018,Summer,126,696.8051621,169.5782184,0,0,0,0,0,2315.077117,0,0,1818.539503,0,0,0,18,0.1059
Aug,2018,Summer,127,322.9527971,0,2014.288253,0,0,0,0,0,0,0,1796.729931,0,866.0290195,0,78,0.5123
Aug,2018,Summer,128,126.9971594,91.89773664,0,0,0,0,0,0,0,999.2412719,311.2617979,0,2470.602034,0,175,0.1559
