Species,Specimen_num,bay,site #,date,Month,Year,J_date,temp,sal,capture method,age,TL,SL,wwt,sex,liver_wwt,mksht_body_evics_wwt,per_stom_wt,Kwet,Kwet_evic,HIS_wet,per_liver_FA,per_musc_FA,liver_bi,muscle_bi,WholeAnimal,liver_FA_conc,muscle_FA_conc
Pacific cod,EFH18/19-228,Cook Bay,EG South,6/6/2020,June,2020,158,8.3,31.9,beach seine,0,30,27,0.2438,I,0.0021,NA,2.38,0.9,0.87,0.8902077,0.981,99.019,0.00981,0.99019,16.693,18.405,16.530
Pacific cod,EFH18/19-230,Cook Bay,EG South,6/6/2020,June,2020,158,8.3,31.9,beach seine,0,32,29,0.2462,I,0.0008,NA,2.68,0.75,0.73,0.3350084,0.179,99.821,0.00179,0.99821,12.782,6.817,12.760
Pacific cod,EFH18/19-229,Cook Bay,EG South,6/6/2020,June,2020,158,8.3,31.9,beach seine,0,34,31,0.2601,I,0.0005,NA,6.92,0.66,0.61,0.2069536,0.249,99.751,0.00249,0.99751,12.335,14.866,12.305
Pacific cod,EFH18/19-227,Cook Bay,EG South,6/6/2020,June,2020,158,8.3,31.9,beach seine,0,35,32,0.2645,I,0.0028,NA,3.82,0.62,0.59,1.1128776,1.791,98.209,0.01791,0.98209,13.806,22.218,13.559
Pacific cod,EFH18/19-235,Cook Bay,EG South,6/6/2020,June,2020,158,8.3,31.9,beach seine,0,33,30,0.3037,I,0.0018,NA,2.77,0.85,0.82,0.6132879,0.652,99.348,0.00652,0.99348,13.206,14.049,13.120
Pacific cod,EFH18/19-237,Cook Bay,EG South,6/6/2020,June,2020,158,8.3,31.9,beach seine,0,34,30,0.3266,I,0.0011,NA,3.83,0.83,0.8,0.3514377,0.56,99.44,0.0056,0.9944,10.959,17.465,10.898
Pacific cod,EFH18/19-188,Cook Bay,EG South,6/28/2018,June,2018,179,10.8,17,beach seine,0,37,34,0.3457,I,0.0012,0.2383,2.78,0.68,0.66,0.3583159,0.577,99.423,0.00577,0.99423,11.502,13.177,11.435
Pacific cod,EFH18/19-187,Cook Bay,EG South,6/28/2018,June,2018,179,10.8,17,beach seine,0,38,35,0.4273,I,0.0014,0.3158,4.7,0.78,0.74,0.3449975,0.533,99.467,0.00533,0.99467,11.411,13.716,11.350
Pacific cod,EFH18/19-238,Cook Bay,EG South,6/6/2020,June,2020,158,8.3,31.9,beach seine,0,41,37,0.5041,I,0.0007,NA,6.37,0.73,0.68,0.1485254,0.459,99.541,0.00459,0.99541,8.755,27.074,8.715
Pacific cod,EFH18/19-189,Cook Bay,EG South,6/28/2018,June,2018,179,10.8,17,beach seine,0,41,38,0.5249,I,0.0025,0.3716,4.76,0.76,0.72,0.5026136,1.094,98.906,0.01094,0.98906,11.206,18.223,11.083
Pacific cod,EFH18/19-253,Cook Bay,EG South,7/2/2020,July,2020,184,10.3,32,beach seine,0,50,46,0.9008,I,0.0043,NA,7.93,0.72,0.66,0.521149,0.91,99.09,0.0091,0.9909,4.608,8.048,4.566
Pacific cod,EFH18/19-186,Cook Bay,EG South,6/28/2018,June,2018,179,10.8,17,beach seine,0,51,47,0.9297,I,0.0021,0.742,3.9,0.7,0.67,0.2356109,0.737,99.263,0.00737,0.99263,8.139,21.197,8.079
Pacific cod,EFH18/19-198,Cook Bay,EG South,6/28/2018,June,2018,179,10.8,17,beach seine,0,49,46,0.9363,I,0.0067,0.7676,4.68,0.8,0.75,0.7563784,1.796,98.204,0.01796,0.98204,8.782,18.070,8.624
Pacific cod,EFH18/19-200,Cook Bay,EG South,6/28/2018,June,2018,179,10.8,17,beach seine,0,50,47,0.9843,I,0.0033,0.7692,7.46,0.79,0.73,0.3635963,1.712,98.288,0.01712,0.98288,5.746,22.930,5.648
Pacific cod,EFH18/19-196,Cook Bay,EG South,6/28/2018,June,2018,179,10.8,17,beach seine,0,49,45,0.985,I,0.0038,0.7404,8.34,0.84,0.76,0.4226449,1.051,98.949,0.01051,0.98949,9.401,19.256,9.302
Pacific cod,EFH18/19-260,Cook Bay,EG South,7/2/2020,July,2020,184,10.3,32,beach seine,0,53,49,1.0231,I,0.0054,NA,4.34,0.69,0.65,0.5548135,3.333,96.667,0.03333,0.96667,5.391,32.384,5.211
Pacific cod,EFH18/19-192,Cook Bay,EG South,6/28/2018,June,2018,179,10.8,17,beach seine,0,50,46,1.0315,I,0.0072,0.86,4.77,0.83,0.78,0.7383858,7.508,92.492,0.07508,0.92492,11.128,99.805,10.293
Pacific cod,EFH18/19-247,Cook Bay,EG South,7/2/2020,July,2020,184,10.3,32,beach seine,0,56,52,1.0379,I,0.0045,NA,3.18,0.59,0.57,0.4498201,2.246,97.754,0.02246,0.97754,9.192,45.900,8.986
Pacific cod,EFH18/19-193,Cook Bay,EG South,6/28/2018,June,2018,179,10.8,17,beach seine,0,51,47,1.047,I,0.0146,0.8501,4.69,0.79,0.74,1.4847961,14.234,85.766,0.14234,0.85766,9.072,75.185,7.780
Pacific cod,EFH18/19-251,Cook Bay,EG South,7/2/2020,July,2020,184,10.3,32,beach seine,0,56,51,1.0474,I,0.0026,NA,4.31,0.6,0.57,0.260078,1.73,98.27,0.0173,0.9827,6.153,40.928,6.046
