Lipid Sample ID,Fish # (to pair liver & flesh),Alisa's Age Estimate,Sex,Year,Month,Day,Site,Bay,Species,Standard Length (mm),Total Length (mm),Whole Body Weight (g) ,Fulton's K,HIS,Total_FA_mg,PerLiverFA,PerMuscleFA
295L,100,0,I,2018,6,,EG South,Cook Bay,Pacific cod,47,51,1.172,1.129,0.623,0.616,NA,NA
189L,93,0,I,2018,6,,EG South,Cook Bay,Pacific cod,34,37,0.346,0.88,0.347,2.631,0.601,99.399
344L,134,0,I,2020,6,,EG South,Cook Bay,Pacific cod,31,34,0.26,0.873,0.192,2.98,0.249,99.751
345L,135,0,I,2020,6,,EG South,Cook Bay,Pacific cod,29,32,0.246,1.009,0.325,3.052,0.179,99.821
188L,92,0,I,2018,6,,EG South,Cook Bay,Pacific cod,35,38,0.427,0.997,0.328,3.375,0.569,99.431
347L,142,0,I,2020,6,,EG South,Cook Bay,Pacific cod,30,34,0.327,1.21,0.337,3.43,0.56,99.44
342L,132,0,I,2020,6,,EG South,Cook Bay,Pacific cod,32,35,0.265,0.807,1.059,3.474,1.791,98.209
355L,158,0,I,2020,7,,EG South,Cook Bay,Pacific cod,46,50,0.901,0.925,0.477,3.802,0.91,99.09
346L,140,0,I,2020,6,,EG South,Cook Bay,Pacific cod,30,33,0.304,1.125,0.593,3.876,0.652,99.348
190L,94,0,I,2018,6,,EG South,Cook Bay,Pacific cod,38,41,0.525,0.957,0.476,3.887,1.172,98.828
343L,133,0,I,2020,6,,EG South,Cook Bay,Pacific cod,27,30,0.244,1.239,0.861,3.938,0.981,99.019
305L,105,0,I,2018,6,,EG South,Cook Bay,Pacific cod,47,50,0.984,0.948,0.335,4.005,1.889,98.111
348L,143,0,I,2020,6,,EG South,Cook Bay,Pacific cod,37,41,0.504,0.995,0.139,4.126,0.459,99.541
364L,167,0,I,2020,7,,EG South,Cook Bay,Pacific cod,51,55,1.132,0.853,0.486,4.177,4.879,95.121
352L,155,0,I,2020,7,,EG South,Cook Bay,Pacific cod,52,56,1.327,0.944,0.497,4.454,1.418,98.582
367L,170,0,I,2020,7,,EG South,Cook Bay,Pacific cod,53,56,1.316,0.884,0.334,5.221,2.273,97.727
362L,165,0,I,2020,7,,EG South,Cook Bay,Pacific cod,49,53,1.023,0.87,0.528,5.247,3.333,96.667
299L,102,0,I,2018,6,,EG South,Cook Bay,Pacific cod,50,53,1.12,0.896,0.509,5.402,10.239,89.761
365L,168,0,I,2020,7,,EG South,Cook Bay,Pacific cod,54,59,1.394,0.885,0.395,5.443,2.045,97.955
131L,35,0,I,2018,8,,EG North,Cook Bay,Pacific cod,60,64,2.281,1.056,0.732,5.637,4.314,95.686
187L,91,0,I,2018,6,,EG South,Cook Bay,Pacific cod,47,51,0.93,0.895,0.226,5.746,0.775,99.225
357L,160,0,I,2020,7,,EG South,Cook Bay,Pacific cod,52,57,1.357,0.965,0.332,6.149,1.399,98.601
353L,156,0,I,2020,7,,EG South,Cook Bay,Pacific cod,51,56,1.047,0.79,0.248,6.151,1.73,98.27
297L,101,0,I,2018,6,,EG South,Cook Bay,Pacific cod,45,49,0.985,1.081,0.386,6.197,1.181,98.819
109L,13,0,I,2018,7,,EG South,Cook Bay,Pacific cod,48,52,1.166,1.054,0.678,6.295,1.818,98.182
301L,103,0,I,2018,6,,EG South,Cook Bay,Pacific cod,46,49,0.936,0.962,0.716,6.363,1.903,98.097
374L,177,0,I,2020,8,,EG South,Cook Bay,Pacific cod,60,64,2.004,0.928,0.314,6.525,1.5,98.5
184L,88,0,I,2018,6,,EG South,Cook Bay,Pacific cod,51,54,1.339,1.009,0.755,6.705,5.335,94.665
110L,14,0,I,2018,7,,EG South,Cook Bay,Pacific cod,53,57,1.542,1.036,0.72,6.804,2.112,97.888
185L,89,0,I,2018,6,,EG South,Cook Bay,Pacific cod,54,59,1.772,1.126,0.57,6.832,5.154,94.846
351L,154,0,I,2020,7,,EG South,Cook Bay,Pacific cod,57,61,1.855,1.002,0.442,7.133,0.914,99.086
122L,26,0,F,2018,8,,EG South,Cook Bay,Pacific cod,65,71,2.548,0.928,0.852,7.32,4.04,95.96
291L,98,0,I,2018,6,,EG South,Cook Bay,Pacific cod,47,51,1.047,1.008,1.394,7.33,14.976,85.024
368L,171,0,I,2020,7,,EG South,Cook Bay,Pacific cod,55,59,1.311,0.788,0.458,7.371,4.036,95.964
396L,199,0,I,2020,10,,EG South,Cook Bay,Pacific cod,59,64,1.985,0.966,0.484,7.473,0.731,99.269
192L,96,0,I,2018,6,,EG South,Cook Bay,Pacific cod,48,53,1.333,1.205,0.728,7.578,5.471,94.529
361L,164,0,I,2020,7,,EG South,Cook Bay,Pacific cod,56,61,1.672,0.952,0.562,7.639,10.695,89.305
114L,18,0,I,2018,7,,EG South,Cook Bay,Pacific cod,57,62,2.14,1.156,0.869,7.765,7.197,92.803
191L,95,0,I,2018,6,,EG South,Cook Bay,Pacific cod,48,53,1.133,1.024,0.406,7.784,4.614,95.386
98L,2,0,I,2018,7,,EG South,Cook Bay,Pacific cod,49,53,1.214,1.032,0.494,7.842,1.904,98.096
375L,178,0,I,2020,8,,EG South,Cook Bay,Pacific cod,61,66,2.243,0.988,0.348,7.934,1.615,98.385
99L,3,0,I,2018,7,,EG South,Cook Bay,Pacific cod,49,54,1.349,1.147,0.741,8.005,1.486,98.514
354L,157,0,I,2020,7,,EG South,Cook Bay,Pacific cod,61,65,2.042,0.9,0.617,8.103,1.891,98.109
359L,162,0,I,2020,7,,EG South,Cook Bay,Pacific cod,56,60,1.316,0.749,0.479,8.166,1.75,98.25
183L,87,0,I,2018,6,,EG South,Cook Bay,Pacific cod,49,53,1.215,1.032,1.12,8.172,11.063,88.937
135L,39,0,I,2018,8,,EG North,Cook Bay,Pacific cod,60,65,2.299,1.064,0.357,8.428,1.995,98.005
116L,20,0,I,2018,7,,EG South,Cook Bay,Pacific cod,52,57,1.4,0.995,0.836,8.652,7.292,92.708
358L,161,0,I,2020,7,,EG South,Cook Bay,Pacific cod,52,58,1.248,0.888,0.513,8.666,2.769,97.231
350L,153,0,I,2020,7,,EG South,Cook Bay,Pacific cod,54,58,1.469,0.933,0.313,8.927,1.122,98.878
174L,78,0,I,2018,9,,EG West,Cook Bay,Pacific cod,63,68,2.347,0.939,0.396,9.043,3.531,96.469
289L,97,0,I,2018,6,,EG South,Cook Bay,Pacific cod,46,50,1.032,1.06,0.698,9.064,7.928,92.072
105L,9,0,I,2018,7,,EG South,Cook Bay,Pacific cod,56,60,1.808,1.03,0.846,9.174,3.347,96.653
384L,187,0,I,2020,8,,EG South,Cook Bay,Pacific cod,72,77,3.557,0.953,0.405,9.185,2.646,97.354
349L,152,0,I,2020,7,,EG South,Cook Bay,Pacific cod,52,56,1.038,0.738,0.434,9.196,2.246,97.754
176L,80,0,I,2018,9,,EG West,Cook Bay,Pacific cod,73,79,3.386,0.87,0.538,9.295,3.943,96.057
324L,114,0,I,2020,9,,EG South,Cook Bay,Pacific cod,69,75,3.251,0.99,0.142,9.345,0.694,99.306
366L,169,0,I,2020,7,,EG South,Cook Bay,Pacific cod,58,62,1.627,0.834,0.541,9.526,2.422,97.578
100L,4,0,I,2018,7,,EG South,Cook Bay,Pacific cod,57,61,1.909,1.031,0.466,9.597,1.403,98.597
303L,104,0,I,2018,6,,EG South,Cook Bay,Pacific cod,49,53,1.162,0.988,1.42,9.747,14.171,85.829
363L,166,0,I,2020,7,,EG South,Cook Bay,Pacific cod,51,55,1.301,0.981,0.692,9.777,2.754,97.246
356L,159,0,I,2020,7,,EG South,Cook Bay,Pacific cod,54,58,1.255,0.797,0.67,9.88,2.946,97.054
177L,81,0,I,2018,9,,EG West,Cook Bay,Pacific cod,57,62,1.376,0.743,0.174,9.941,0.414,99.586
115L,19,0,I,2018,7,,EG South,Cook Bay,Pacific cod,62,67,2.34,0.982,0.521,10.025,1.832,98.168
182L,86,0,I,2018,6,,EG South,Cook Bay,Pacific cod,51,55,1.332,1.004,1.651,10.108,16.294,83.706
97L,1,0,I,2018,7,,EG South,Cook Bay,Pacific cod,56,60,1.774,1.01,0.986,10.111,2.228,97.772
123L,27,0,I,2018,8,,EG South,Cook Bay,Pacific cod,62,66,2.457,1.031,0.48,10.651,2.24,97.76
111L,15,0,I,2018,7,,EG South,Cook Bay,Pacific cod,62,67,2.337,0.98,0.723,11.298,4.263,95.737
119L,23,0,F,2018,8,,EG South,Cook Bay,Pacific cod,70,75,3.777,1.101,1.003,11.383,6.089,93.911
103L,7,0,I,2018,7,,EG South,Cook Bay,Pacific cod,60,65,2.361,1.093,1.258,11.636,9.825,90.175
102L,6,0,I,2018,7,,EG South,Cook Bay,Pacific cod,56,60,2.139,1.218,1.024,11.744,10.735,89.265
293L,99,0,I,2018,6,,EG South,Cook Bay,Pacific cod,57,62,2.021,1.091,1.346,11.796,23.176,76.824
390L,193,0,I,2020,10,,EG South,Cook Bay,Pacific cod,69,76,3.33,1.014,0.748,11.929,3.847,96.153
395L,198,0,I,2020,10,,EG South,Cook Bay,Pacific cod,74,79,3.725,0.919,0.352,12.188,1.197,98.803
331L,121,0,I,2020,9,,EG South,Cook Bay,Pacific cod,72,77,3.691,0.989,0.336,12.196,1.68,98.32
360L,163,0,I,2020,7,,EG South,Cook Bay,Pacific cod,57,61,1.442,0.779,0.673,12.208,1.475,98.525
377L,180,0,I,2020,8,,EG South,Cook Bay,Pacific cod,82,89,5.255,0.953,0.194,12.281,1.735,98.265
186L,90,0,I,2018,6,,EG South,Cook Bay,Pacific cod,56,61,1.953,1.112,1.848,12.36,35.223,64.777
165L,69,0,M,2018,9,,EG South,Cook Bay,Pacific cod,77,84,4.968,1.088,0.183,12.661,2.026,97.974
169L,73,0,M,2018,9,,EG South,Cook Bay,Pacific cod,70,76,2.781,0.811,0.733,12.856,3.76,96.24
112L,16,0,I,2018,7,,EG South,Cook Bay,Pacific cod,62,67,2.297,0.964,0.858,13.268,3.027,96.973
108L,12,0,I,2018,7,,EG South,Cook Bay,Pacific cod,62,67,2.559,1.074,1.118,13.279,6.755,93.245
134L,38,0,F,2018,8,,EG North,Cook Bay,Pacific cod,77,71,4.15,0.909,0.578,13.292,1.905,98.095
369L,172,0,I,2020,8,,EG South,Cook Bay,Pacific cod,85,90,5.9,0.961,0.541,13.328,5.519,94.481
107L,11,0,I,2018,7,,EG South,Cook Bay,Pacific cod,68,73,2.985,0.949,0.878,13.419,3.299,96.701
383L,186,0,I,2020,8,,EG South,Cook Bay,Pacific cod,65,70,2.358,0.858,0.581,13.597,0.901,99.099
175L,79,0,I,2018,9,,EG West,Cook Bay,Pacific cod,73,79,3.969,1.02,0.197,13.763,0.881,99.119
162L,66,0,M,2018,9,,EG South,Cook Bay,Pacific cod,91,98,6.66,0.884,0.158,13.771,0.985,99.015
104L,8,0,I,2018,7,,EG South,Cook Bay,Pacific cod,64,69,2.745,1.047,1.129,14.012,4.24,95.76
120L,24,0,M,2018,8,,EG South,Cook Bay,Pacific cod,65,71,3.455,1.258,1.242,14.028,4.816,95.184
379L,182,0,I,2020,8,,EG South,Cook Bay,Pacific cod,74,80,4.428,1.093,0.671,14.202,2.623,97.377
336L,126,0,I,2020,9,,EG South,Cook Bay,Pacific cod,77,82,4.214,0.923,0.588,14.452,3.892,96.108
164L,68,0,M,2018,9,,EG South,Cook Bay,Pacific cod,76,83,4.375,0.997,0.505,14.504,3.112,96.888
325L,115,0,I,2020,9,,EG South,Cook Bay,Pacific cod,80,86,3.855,0.753,0.319,14.532,1.604,98.396
386L,189,0,I,2020,8,,EG South,Cook Bay,Pacific cod,76,83,4.521,1.03,0.462,14.673,4.314,95.686
161L,65,0,M,2018,12,,EG West,Cook Bay,Pacific cod,84,88,5.844,0.986,1.045,14.905,16.293,83.707
106L,10,0,I,2018,7,,EG South,Cook Bay,Pacific cod,64,69,2.723,1.039,1.124,14.99,3.54,96.46
138L,42,0,M,2018,10,,EG South,Cook Bay,Pacific cod,74,79,4.308,1.063,0.374,15.091,2.511,97.489
338L,128,0,I,2020,9,,EG South,Cook Bay,Pacific cod,76,82,3.982,0.907,1.238,15.093,7.412,92.588
113L,17,0,I,2018,7,,EG South,Cook Bay,Pacific cod,67,72,2.975,0.989,0.669,15.096,2.084,97.916
322L,112,0,I,2020,9,,EG South,Cook Bay,Pacific cod,78,85,4.474,0.943,0.655,15.377,2.805,97.195
382L,185,0,I,2020,8,,EG South,Cook Bay,Pacific cod,80,86,4.447,0.869,0.425,15.387,1.198,98.802
130L,34,0,M,2018,8,,EG North,Cook Bay,Pacific cod,76,81,5.026,1.145,1.224,15.407,6.796,93.204
327L,117,0,I,2020,9,,EG South,Cook Bay,Pacific cod,80,87,5.509,1.076,0.512,15.483,3.061,96.939
168L,72,0,M,2018,9,,EG South,Cook Bay,Pacific cod,80,86,5.355,1.046,0.491,15.648,5.023,94.977
163L,67,0,M,2018,9,,EG South,Cook Bay,Pacific cod,85,91,6.332,1.031,0.381,15.653,3.429,96.571
129L,33,0,M,2018,8,,EG North,Cook Bay,Pacific cod,73,78,4.559,1.172,0.991,15.713,6.471,93.529
171L,75,0,M,2018,9,,EG West,Cook Bay,Pacific cod,77,84,4.363,0.956,0.158,15.776,0.58,99.42
132L,36,0,M,2018,8,,EG North,Cook Bay,Pacific cod,80,86,5.698,1.113,0.837,15.854,5.387,94.613
389L,192,0,I,2020,10,,EG South,Cook Bay,Pacific cod,84,91,6.069,1.024,0.784,16.283,4.547,95.453
371L,174,0,I,2020,8,,EG South,Cook Bay,Pacific cod,93,98,8.201,1.02,0.706,16.506,10.285,89.715
128L,32,0,F,2018,8,,EG North,Cook Bay,Pacific cod,75,80,5.665,1.343,1.063,16.633,8.923,91.077
101L,5,0,I,2018,7,,EG South,Cook Bay,Pacific cod,67,73,3.111,1.034,0.787,16.677,3.315,96.685
319L,109,0,M,2020,11,,EG West,Cook Bay,Pacific cod,83,90,4.428,0.774,1.17,16.714,20.362,79.638
381L,184,0,I,2020,8,,EG South,Cook Bay,Pacific cod,74,79,3.842,0.948,0.539,17.062,2.089,97.911
140L,44,0,M,2018,10,,EG South,Cook Bay,Pacific cod,80,87,4.68,0.914,0.438,17.272,1.419,98.581
323L,113,0,I,2020,9,,EG South,Cook Bay,Pacific cod,89,96,6.463,0.917,0.357,17.485,1.382,98.618
127L,31,0,F,2018,8,,EG North,Cook Bay,Pacific cod,75,80,4.544,1.077,0.616,17.651,3.982,96.018
166L,70,0,M,2018,9,,EG South,Cook Bay,Pacific cod,92,99,7.586,0.974,0.552,17.93,3.297,96.703
372L,175,0,I,2020,8,,EG South,Cook Bay,Pacific cod,78,83,4.446,0.937,0.853,18.088,2.181,97.819
326L,116,0,I,2020,9,,EG South,Cook Bay,Pacific cod,85,92,5.623,0.916,0.318,18.168,0.931,99.069
154L,58,0,M,2018,10,,EG West,Cook Bay,Pacific cod,87,95,6.887,1.046,0.874,18.34,29.065,70.935
388L,191,0,I,2020,8,,EG South,Cook Bay,Pacific cod,80,86,4.491,0.877,0.338,18.377,1.448,98.552
397L,200,0,I,2020,10,,EG South,Cook Bay,Pacific cod,86,92,6.213,0.977,0.716,18.549,2.867,97.133
124L,28,0,F,2018,8,,EG South,Cook Bay,Pacific cod,74,79,4.696,1.159,1.028,18.978,4.447,95.553
167L,71,0,F,2018,9,,EG South,Cook Bay,Pacific cod,72,78,3.267,0.875,1.056,19.273,21.443,78.557
405L,208,0,I,2020,10,,EG South,Cook Bay,Pacific cod,99,107,11.049,1.139,0.735,19.645,6.323,93.677
173L,77,0,M,2018,9,,EG West,Cook Bay,Pacific cod,85,92,5.904,0.961,0.181,19.695,0.95,99.05
385L,188,0,I,2020,8,,EG South,Cook Bay,Pacific cod,86,92,7.523,1.183,0.296,20.003,2.269,97.731
157L,61,0,M,2018,12,,EG West,Cook Bay,Pacific cod,80,85,5.508,1.076,2.309,20.065,31.377,68.623
133L,37,0,F,2018,8,,EG North,Cook Bay,Pacific cod,78,84,5.225,1.101,1.022,20.217,5.2,94.8
330L,120,0,I,2020,9,,EG South,Cook Bay,Pacific cod,82,89,5.721,1.038,0.484,20.234,4.107,95.893
339L,129,0,I,2020,9,,EG South,Cook Bay,Pacific cod,76,83,3.62,0.825,0.658,20.267,3.239,96.761
118L,22,0,F,2018,8,,EG South,Cook Bay,Pacific cod,75,81,4.939,1.171,1.383,20.442,11.208,88.792
370L,173,0,I,2020,8,,EG South,Cook Bay,Pacific cod,81,86,5.01,0.943,0.713,20.562,2.748,97.252
180L,84,0,M,2018,9,,EG West,Cook Bay,Pacific cod,87,93,7.672,1.165,0.627,20.678,7.669,92.331
394L,197,0,I,2020,10,,EG South,Cook Bay,Pacific cod,87,93,7.047,1.07,0.911,20.771,9.937,90.063
402L,205,0,I,2020,10,,EG South,Cook Bay,Pacific cod,82,88,5.125,0.93,0.695,21.067,3.009,96.991
117L,21,0,I,2018,8,,EG South,Cook Bay,Pacific cod,77,83,5.417,1.186,1.093,21.329,5.189,94.811
152L,56,0,M,2018,10,,EG West,Cook Bay,Pacific cod,82,88,5.278,0.957,0.656,21.494,9.662,90.338
172L,76,0,F,2018,9,,EG West,Cook Bay,Pacific cod,89,96,7.421,1.053,0.117,21.52,0.496,99.504
329L,119,0,I,2020,9,,EG South,Cook Bay,Pacific cod,84,90,6.302,1.063,0.83,22.093,6.098,93.902
332L,122,0,I,2020,9,,EG South,Cook Bay,Pacific cod,91,98,7.885,1.046,0.713,22.146,10.091,89.909
178L,82,0,M,2018,9,,EG West,Cook Bay,Pacific cod,99,106,11.638,1.199,0.453,22.711,9.478,90.522
148L,52,0,M,2018,10,,EG West,Cook Bay,Pacific cod,83,88,6.562,1.148,0.995,22.987,22.936,77.064
