Lipid Sample ID,Fish # (to pair liver & flesh),Year,Alisa's Age Estimate,Sex,Month,Site,Bay,Species,Standard Length (mm),Total Length (mm),Whole Body Weight (g) ,Whole Liver WWT (g),Stomach WWT (g),Lipid Sample WWT (g),Lipid Sample WWT (mg),FultonK,HIS,WholeBodyFA,LiverFA,MuscleFA,Whole_animal_FA_mg,PercentLiver,PercentMuscle
345L,135,2020,0,I,June,EG South,Cook,Pacific cod,29,32,0.2462,0.0008,0.0066,0.0008,0.8,1.009471483,0.324939074,19.57635359,0.005453403,3.046992561,3.052445963,0.178656811,99.82134319
344L,134,2020,0,I,June,EG South,Cook,Pacific cod,31,34,0.2601,0.0005,0.018,0.0005,0.5,0.873082475,0.192233756,27.1707379,0.007433109,2.972772215,2.980205323,0.249415989,99.75058401
177L,81,2018,0,I,Sept,EG West,Cook,Pacific cod,57,62,1.3756,0.0024,0.0509,0.0024,2.4,0.742792654,0.174469322,26.12343754,0.041145129,9.900046169,9.941191298,0.413885298,99.5861147
348L,143,2020,0,I,June,EG South,Cook,Pacific cod,37,41,0.5041,0.0007,0.0321,0.0007,0.7,0.995202653,0.138861337,35.78878126,0.018951586,4.107420696,4.126372282,0.45927959,99.54072041
172L,76,2018,0,F,Sept,EG West,Cook,Pacific cod,89,96,7.4213,0.0087,0.52,0.0087,8.7,1.052712956,0.117230135,16.02198704,0.106708922,21.41295977,21.51966869,0.495866937,99.50413306
347L,142,2020,0,I,June,EG South,Cook,Pacific cod,30,34,0.3266,0.0011,0.0125,0.0011,1.1,1.20962963,0.336803429,28.36273321,0.019211372,3.411026863,3.430238235,0.560059415,99.43994059
188L,92,2018,0,I,June,EG South,Cook,Pacific cod,35,38,0.4273,0.0014,0.0201,0.0014,1.4,0.996618076,0.327638661,25.06630575,0.019202955,3.35616825,3.375371204,0.568913863,99.43108614
171L,75,2018,0,M,Sept,EG West,Cook,Pacific cod,77,84,4.3631,0.0069,0.1654,0.0069,6.9,0.955703093,0.158144439,17.52583453,0.091547154,15.68440011,15.77594727,0.580295763,99.41970424
189L,93,2018,0,I,June,EG South,Cook,Pacific cod,34,37,0.3457,0.0012,0.0096,0.0012,1.2,0.879554244,0.347121782,24.61265793,0.015812956,2.615228919,2.631041876,0.601015005,99.398985
346L,140,2020,0,I,June,EG South,Cook,Pacific cod,30,33,0.3037,0.0018,0.0084,0.0018,1.8,1.124814815,0.592690155,27.16859652,0.025287336,3.85074254,3.876029875,0.652403008,99.34759699
324L,114,2020,0,I,Sept,EG South,Cook,Pacific cod,69,75,3.2506,0.0046,0.1422,0.0046,4.6,0.989501049,0.141512336,17.09874831,0.064900206,9.280386147,9.345286353,0.69446996,99.30553004
396L,199,2020,0,I,Oct,EG South,Cook,Pacific cod,59,64,1.9847,0.0096,0.0639,0.0096,9.6,0.966359754,0.483700307,9.571927823,0.054625503,7.418841289,7.473466792,0.730925877,99.26907412
187L,91,2018,0,I,June,EG South,Cook,Pacific cod,47,51,0.9297,0.0021,0.0363,0.0021,2.1,0.895466322,0.225879316,29.27590955,0.044514429,5.701041332,5.745555762,0.774762814,99.22523719
403L,206,2020,0,I,Oct,EG South,Cook,Pacific cod,98,105,9.6148,0.0313,0.4515,0.0313,31.3,1.021555644,0.325539793,11.83531058,0.262277429,31.55873093,31.82100836,0.824227272,99.17577273
373L,176,2020,0,I,Aug,EG South,Cook,Pacific cod,88,95,7.5158,0.0282,0.3078,0.0282,28.2,1.102877301,0.375209559,11.72775004,0.226037883,26.6530135,26.87905138,0.84094442,99.15905558
175L,79,2018,0,I,Sept,EG West,Cook,Pacific cod,73,79,3.9691,0.0078,0.2102,0.0078,7.8,1.020289602,0.196518102,20.00051284,0.121261435,13.64180182,13.76306325,0.881064286,99.11893571
376L,179,2020,0,I,Aug,EG South,Cook,Pacific cod,91,98,7.8667,0.0301,0.3263,0.0301,30.1,1.043922869,0.382625497,13.78430383,0.286839621,31.95443614,32.24127576,0.889665854,99.11033415
383L,186,2020,0,I,Aug,EG South,Cook,Pacific cod,65,70,2.3575,0.0137,0.1369,0.0137,13.7,0.858443332,0.581124072,15.04544962,0.122478326,13.47406429,13.59654262,0.900804926,99.09919507
355L,158,2020,0,I,July,EG South,Cook,Pacific cod,46,50,0.9008,0.0043,0.0714,0.0043,4.3,0.925454097,0.477353464,12.61395075,0.034604313,3.767766439,3.802370752,0.910072036,99.08992796
351L,154,2020,0,I,July,EG South,Cook,Pacific cod,57,61,1.8554,0.0082,0.1242,0.0082,8.2,1.001873721,0.441953218,12.05462096,0.065209572,7.068149487,7.133359059,0.914149576,99.08585042
326L,116,2020,0,I,Sept,EG South,Cook,Pacific cod,85,92,5.6229,0.0179,0.2018,0.0179,17.9,0.915595359,0.31834107,12.78411235,0.169207523,17.99902152,18.16822904,0.93133746,99.06866254
173L,77,2018,0,M,Sept,EG West,Cook,Pacific cod,85,92,5.9044,0.0107,0.2849,0.0107,10.7,0.961432933,0.181220784,21.56014135,0.187142104,19.50818192,19.69532402,0.950185453,99.04981455
179L,83,2018,0,M,Sept,EG West,Cook,Pacific cod,85,92,7.6345,0.0143,0.5001,0.0143,14.3,1.243150824,0.187307617,21.34959923,0.243696783,25.36083872,25.6045355,0.951771936,99.04822806
343L,133,2020,0,I,June,EG South,Cook,Pacific cod,27,30,0.2438,0.0021,0.0058,0.0021,2.1,1.238632322,0.861361772,34.93431319,0.038650087,3.899311388,3.937961475,0.98147448,99.01852552
162L,66,2018,0,M,Sept,EG South,Cook,Pacific cod,91,98,6.6597,0.0105,0.1772,0.0105,10.5,0.883752161,0.15766476,15.30688956,0.135620899,13.63558086,13.77120175,0.984815282,99.01518472
378L,181,2020,0,I,Aug,EG South,Cook,Pacific cod,87,95,6.6907,0.0299,0.3654,0.0299,29.9,1.016047004,0.446888965,15.17113079,0.316319588,28.90772365,29.22404324,1.082395017,98.91760498
350L,153,2020,0,I,July,EG South,Cook,Pacific cod,54,58,1.4691,0.0046,0.0875,0.0046,4.6,0.932975156,0.313116874,28.18127921,0.100147156,8.826788069,8.926935225,1.121853731,98.87814627
190L,94,2018,0,I,June,EG South,Cook,Pacific cod,38,41,0.5249,0.0025,0.025,0.0025,2.5,0.956589882,0.476281196,29.30599168,0.045556788,3.841463619,3.887020407,1.172023383,98.82797662
297L,101,2018,0,I,June,EG South,Cook,Pacific cod,45,49,0.985,0.0038,0.0821,0.0038,3.8,1.080932785,0.385786802,28.55798556,0.07317356,6.123365449,6.196539009,1.180877903,98.8191221
395L,198,2020,0,I,Oct,EG South,Cook,Pacific cod,74,79,3.7247,0.0131,0.2496,0.0131,13.1,0.919170632,0.351706178,14.61780309,0.145928149,12.04170058,12.18762872,1.197346525,98.80265348
382L,185,2020,0,I,Aug,EG South,Cook,Pacific cod,80,86,4.4468,0.0189,0.1859,0.0189,18.9,0.868515625,0.425024737,13.33580883,0.184312499,15.20258464,15.38689714,1.197853584,98.80214642
323L,113,2020,0,I,Sept,EG South,Cook,Pacific cod,89,96,6.4634,0.0231,0.4813,0.0231,23.1,0.916834641,0.357397036,13.35104848,0.241565736,17.24330384,17.48486958,1.381570135,98.61842987
357L,160,2020,0,I,July,EG South,Cook,Pacific cod,52,57,1.3571,0.0045,0.0635,0.0045,4.5,0.965165567,0.331589419,23.81546811,0.086003759,6.063309722,6.149313481,1.398591233,98.60140877
100L,4,2018,0,I,July,EG South,Cook,Pacific cod,57,61,1.9093,0.0089,0.0979,0.0089,8.9,1.030978493,0.466139423,21.48029546,0.134634158,9.461952545,9.596586703,1.402937968,98.59706203
352L,155,2020,0,I,July,EG South,Cook,Pacific cod,52,56,1.3274,0.0066,0.0762,0.0066,6.6,0.944043013,0.497212596,13.09675341,0.063153652,4.390971615,4.454125266,1.417868779,98.58213122
140L,44,2018,0,M,Oct,EG South,Cook,Pacific cod,80,87,4.6801,0.0205,0.1308,0.0205,20.5,0.914082031,0.438024829,16.11515897,0.245075265,17.02714478,17.27222004,1.418898467,98.58110153
388L,191,2020,0,I,Aug,EG South,Cook,Pacific cod,80,86,4.4906,0.0152,0.2922,0.0152,15.2,0.877070313,0.338484835,21.8336973,0.266064796,18.11089,18.3769548,1.447817655,98.55218234
360L,163,2020,0,I,July,EG South,Cook,Pacific cod,57,61,1.4418,0.0097,0.0807,0.0097,9.7,0.778539146,0.672770148,27.45707941,0.180003272,12.02751552,12.20751879,1.474527911,98.52547209
99L,3,2018,0,I,July,EG South,Cook,Pacific cod,49,54,1.3491,0.01,0.0659,0.01,10,1.146716079,0.741234897,19.33674281,0.118953719,7.885620742,8.004574461,1.486071742,98.51392826
374L,177,2020,0,I,Aug,EG South,Cook,Pacific cod,60,64,2.0039,0.0063,0.0771,0.0063,6.3,0.927731481,0.314386945,18.88661601,0.097900884,6.427516287,6.525417171,1.500300767,98.49969923
325L,115,2020,0,I,Sept,EG South,Cook,Pacific cod,80,86,3.8551,0.0123,0.2438,0.0123,12.3,0.752949219,0.319057871,22.91808668,0.233023474,14.29914657,14.53217005,1.603500876,98.39649912
375L,178,2020,0,I,Aug,EG South,Cook,Pacific cod,61,66,2.2426,0.0078,0.1649,0.0078,7.8,0.988012212,0.347810577,20.2038363,0.1281749,7.805917416,7.934092317,1.615495449,98.38450455
334L,124,2020,0,I,Sept,EG South,Cook,Pacific cod,96,104,9.2834,0.0438,0.2988,0.0438,43.8,1.049284758,0.471809897,13.28990154,0.450900564,26.78098739,27.23188795,1.655781503,98.3442185
331L,121,2020,0,I,Sept,EG South,Cook,Pacific cod,72,77,3.6905,0.0124,0.1513,0.0124,12.4,0.988752786,0.335997832,19.92429202,0.20489974,11.99154113,12.19644087,1.679996177,98.32000382
353L,156,2020,0,I,July,EG South,Cook,Pacific cod,51,56,1.0474,0.0026,0.0451,0.0026,2.6,0.789590731,0.248233722,46.97376934,0.106411605,6.044415225,6.15082683,1.730037401,98.2699626
377L,180,2020,0,I,Aug,EG South,Cook,Pacific cod,82,89,5.2554,0.0102,0.1607,0.0102,10.2,0.953156513,0.194086083,23.25907266,0.213033384,12.06778989,12.28082327,1.734683252,98.26531675
359L,162,2020,0,I,July,EG South,Cook,Pacific cod,56,60,1.3162,0.0063,0.0873,0.0063,6.3,0.74947613,0.478650661,29.25042686,0.14293659,8.022797989,8.165734579,1.750443749,98.24955625
342L,132,2020,0,I,June,EG South,Cook,Pacific cod,32,35,0.2645,0.0028,0.0101,0.0028,2.8,0.807189941,1.058601134,35.77691278,0.062210828,3.41138404,3.473594868,1.790963826,98.20903617
