Month,Year,Sample,polycheate,Gammarid,Caprellidae,decapod,isopoda,shrimp,Corphiidae,euphasids,harp_cope,cumacea
July,2020,254,0,0,0,0,0,0,0,0,0.6598,0.3402
July,2020,262,0,0,0,0,0,0,0,0,0.9286,0.0714
Aug,2020,277,0,0,0,0,0,0,0,0,1.0000,0
June,2020,231,0,0,0,0,0,0,0,0,1.0000,0
June,2020,245,0,0,0,0,0,0,0,0,1.0000,0
June,2020,242,0,0,0,0,0,0,0,0,1.0000,0
June,2020,244,0,0,0,0,0,0,0,0,1.0000,0
June,2020,246,0,0,0,0,0,0,0,0,1.0000,0
June,2020,243,0,0,0,0,0,0,0,0,1.0000,0
June,2020,235,0,0,0,0,0,0,0,0,1.0000,0
June,2020,237,0,0,0,0,0,0,0,0,1.0000,0
June,2020,239,0,0,0,0,0,0,0,0,1.0000,0
June,2020,232,0,0,0,0,0,0,0,0,1.0000,0
June,2020,240,0,0,0,0,0,0,0,0,1.0000,0
June,2020,236,0,0,0,0,0,0,0,0,1.0000,0
June,2020,230,0,0,0,0,0,0,0,0,1.0000,0
Sept,2020,216,0,0,0,0,0,0,0,0,1.0000,0
Sept,2020,211,0,0,0,0,0,0,0,0,1.0000,0
Nov,2020,203,0,0,0,0,0,0,0,0,1.0000,0
Aug,2018,130,0,0,0,0,0,0,0,0,1.0000,0
Nov,2020,204,0,0,0,0,0,0,0,0.7358,0.2642,0
Aug,2020,282,0,0,0,0,0,0,0.9108,0,0.0892,0
Aug,2018,121,0,0,0,0,0,0,1.0000,0,0,0
Aug,2020,272,0,0,0,0,0.8333,0,0,0,0.1667,0
July,2018,114,0,0,0,0,0.8619,0,0.1326,0,0.0055,0
Sept,2018,171,0,0,0,0,1.0000,0,0,0,0,0
July,2018,100,0,0,0,0.5000,0,0,0,0,0.5000,0
Oct,2020,302,0,0,0,1.0000,0,0,0,0,0,0
Aug,2018,129,0,0,0.0186,0,0,0,0.2602,0,0.0019,0.7193
June,2020,241,0,0,0.0769,0,0,0,0,0,0.9231,0
July,2020,253,0,0,0.1359,0,0,0,0,0,0.6602,0.2039
June,2018,187,0,0,0.1538,0,0,0,0,0,0.8462,0
July,2020,247,0,0,0.2121,0,0,0,0,0,0.7879,0
July,2020,266,0,0,0.4737,0,0,0,0,0,0.5263,0
Aug,2018,133,0,0,0.5749,0,0,0,0.2335,0,0.1916,0
July,2020,248,0,0,0.5849,0,0,0,0,0,0,0.4151
July,2020,263,0,0,0.6532,0,0,0,0,0,0.0045,0.3423
Aug,2018,134,0,0,0.6616,0,0,0.1465,0.1919,0,0,0
Aug,2018,131,0,0,0.7061,0,0,0,0.2939,0,0,0
July,2018,101,0,0,0.8702,0,0,0,0.1221,0,0.0076,0
Aug,2020,270,0,0,0.8920,0.1065,0,0,0,0,0.0014,0
July,2018,108,0,0,0.9000,0,0,0,0,0,0.1000,0
July,2020,258,0,0,0.9537,0,0,0,0,0,0.0463,0
July,2020,261,0,0,0.9815,0,0,0,0,0,0.0185,0
July,2020,255,0,0,0.9907,0,0,0,0,0,0,0.0093
Aug,2020,275,0,0,0.9920,0,0,0,0,0,0.0080,0
July,2020,257,0,0,0.9961,0,0,0,0,0,0,0.0039
Aug,2020,271,0,0,0.9966,0,0,0,0,0,0.0034,0
July,2018,99,0,0,0.9968,0,0,0,0,0,0.0032,0
July,2020,249,0,0,0.9982,0,0,0,0,0,0,0.0018
Oct,2020,287,0,0,1.0000,0,0,0,0,0,0,0
July,2020,259,0,0,1.0000,0,0,0,0,0,0,0
July,2020,260,0,0,1.0000,0,0,0,0,0,0,0
July,2020,252,0,0,1.0000,0,0,0,0,0,0,0
July,2020,256,0,0,1.0000,0,0,0,0,0,0,0
July,2020,251,0,0,1.0000,0,0,0,0,0,0,0
Sept,2020,209,0,0,1.0000,0,0,0,0,0,0,0
Aug,2018,117,0,0.0005,0.1372,0,0.8623,0,0,0,0,0
June,2018,182,0,0.0063,0.9906,0,0.0031,0,0,0,0,0
Aug,2020,280,0,0.0098,0.9804,0,0,0,0,0,0.0098,0
Aug,2018,126,0,0.0123,0.8149,0,0,0,0.1719,0,0.0009,0
July,2018,96,0,0.0123,0.8272,0,0,0,0,0,0.1605,0
July,2018,109,0,0.0135,0.3243,0,0,0,0.0405,0,0.6216,0
June,2018,200,0,0.0208,0.7500,0,0,0,0,0,0.2292,0
June,2018,186,0,0.0217,0.9130,0,0.0435,0,0,0,0.0217,0
Aug,2018,128,0,0.0231,0,0,0.4939,0,0.0699,0,0.0006,0.4124
July,2018,103,0,0.0256,0.9615,0,0,0,0,0,0.0128,0
Aug,2018,119,0,0.0301,0,0.0060,0,0.0422,0.9217,0,0,0
July,2020,264,0,0.0326,0.9663,0,0,0,0,0,0,0.0011
June,2018,193,0,0.0377,0.8302,0,0,0,0,0,0.1321,0
July,2018,104,0,0.0435,0.8261,0.1304,0,0,0,0,0,0
