Month,Season,Year,Sample,polycheate,Gammarid,Caprellidae,decapod,isopoda,shrimp,Corphiidae,euphasids,harp_cope,cumacea
Aug,Summer,2020,285,0,100,0,0,0,0,0,0,0,0
Aug,Summer,2020,279,0,100,0,0,0,0,0,0,0,0
Aug,Summer,2020,283,0,100,0,0,0,0,0,0,0,0
Aug,Summer,2020,269,0,100,0,0,0,0,0,0,0,0
Aug,Summer,2020,276,0,82.4,17.6,0,0,0,0,0,0,0
Aug,Summer,2020,268,0,40.5,23.3,36.2,0,0,0,0,0,0
Aug,Summer,2018,124,0,69.3,0,0,30.7,0,0,0,0,0
Aug,Summer,2018,117,0,0.1,13.7,0,86.2,0,0,0,0,0
Aug,Summer,2018,120,0.4,99.4,0,0,0,0.2,0,0,0,0
Aug,Summer,2020,274,86.4,0,6.7,0,0,0,6.9,0,0,0
Aug,Summer,2020,278,46.3,41.8,0,0,0,0,11.9,0,0,0
Aug,Summer,2018,134,0,0,66.2,0,0,14.6,19.2,0,0,0
Aug,Summer,2018,131,0,0,70.6,0,0,0,29.4,0,0,0
Aug,Summer,2018,116,0,9.4,0.4,0,0,0,90.2,0,0,0
Aug,Summer,2018,119,0,3,0,0.6,0,4.2,92.2,0,0,0
Aug,Summer,2018,121,0,0,0,0,0,0,100,0,0,0
Aug,Summer,2018,132,100,0,0,0,0,0,0,0,0.1,0
Aug,Summer,2018,126,0,1.2,81.5,0,0,0,17.2,0,0.1,0
Aug,Summer,2020,284,17.6,81.3,0,0,0,0,1.1,0,0.1,0
Aug,Summer,2020,270,0,0,89.2,10.7,0,0,0,0,0.1,0
Aug,Summer,2020,271,0,0,99.7,0,0,0,0,0,0.3,0
Aug,Summer,2020,286,0,99.6,0,0,0,0,0,0,0.4,0
Aug,Summer,2020,275,0,0,99.2,0,0,0,0,0,0.8,0
Aug,Summer,2020,280,0,1,98,0,0,0,0,0,1,0
Aug,Summer,2018,125,89.5,0,0,0,8.3,0,0,0,2.1,0
Aug,Summer,2020,267,0,97,0,0,0,0,0,0,3,0
Aug,Summer,2020,282,0,0,0,0,0,0,91.1,0,8.9,0
Aug,Summer,2020,281,0,72.1,13,0,0,0,0,0,14.9,0
Aug,Summer,2020,272,0,0,0,0,83.3,0,0,0,16.7,0
Aug,Summer,2018,133,0,0,57.5,0,0,0,23.4,0,19.2,0
Aug,Summer,2020,277,0,0,0,0,0,0,0,0,100,0
Aug,Summer,2018,130,0,0,0,0,0,0,0,0,100,0
Aug,Summer,2018,127,79.3,0,0,0,0,0,19.3,0,0.1,1.3
Aug,Summer,2018,135,97.2,0.1,0.7,0,0,0,0,0,0,2
