Species,Specimen_num,bay,site,date_cap,Month,Year,Jul_date,temp,sal,net,age,TL,SL,body_wwt,sex,liver_wwt,stom_full_code,stomach_per,HSIwet,HSI_wet,lipid_num,per_liver_lipid ,per_mus_lipid
Pacific cod,EFH18/19-99,Cook Bay,EG South,7/16/2018,July,2018,197,10.9,30.9,beach seine,0,61,57,1.9093,I,0.0089,4,5.13,0.005975561,0.4937587,100L,1.403,98.597
Pacific cod,EFH18/19-100,Cook Bay,EG South,7/16/2018,July,2018,197,10.9,30.9,beach seine,0,73,67,3.1112,I,0.0245,4,3.99,0.009298618,0.8269484,101L,3.315,96.685
Pacific cod,EFH18/19-101,Cook Bay,EG South,7/16/2018,July,2018,197,10.9,30.9,beach seine,0,60,56,2.1394,I,0.0219,4,6.82,0.012525021,1.1108293,102L,10.735,89.265
Pacific cod,EFH18/19-102,Cook Bay,EG South,7/16/2018,July,2018,197,10.9,30.9,beach seine,0,65,60,2.3612,I,0.0297,5,6.46,0.015615963,1.3630106,103L,9.825,90.175
Pacific cod,EFH18/19-103,Cook Bay,EG South,7/16/2018,July,2018,197,10.9,30.9,beach seine,0,69,64,2.7453,I,0.031,3,3.92,0.013576246,1.1892887,104L,4.24,95.76
Pacific cod,EFH18/19-104,Cook Bay,EG South,7/16/2018,July,2018,197,10.9,30.9,beach seine,0,60,56,1.8083,I,0.0153,3,3.99,0.009943459,0.8891213,105L,3.347,96.653
Pacific cod,EFH18/19-105,Cook Bay,EG South,7/16/2018,July,2018,197,10.9,30.9,beach seine,0,69,64,2.7233,I,0.0306,3,4.12,0.013466532,1.1858627,106L,3.54,96.46
Pacific cod,EFH18/19-106,Cook Bay,EG South,7/16/2018,July,2018,197,10.9,30.9,beach seine,0,73,68,2.9848,I,0.0262,4,4.24,0.010401779,0.9251412,107L,3.299,96.701
Pacific cod,EFH18/19-107,Cook Bay,EG South,7/16/2018,July,2018,197,10.9,30.9,beach seine,0,67,62,2.5592,I,0.0286,3,3.56,0.013569294,1.1724194,108L,6.755,93.245
Pacific cod,EFH18/19-108,Cook Bay,EG South,7/16/2018,July,2018,197,10.9,30.9,beach seine,0,52,48,1.1657,I,0.0079,4,5.06,0.008274851,0.7189661,109L,1.818,98.182
Pacific cod,EFH18/19-109,Cook Bay,EG South,7/16/2018,July,2018,197,10.9,30.9,beach seine,0,57,53,1.5418,I,0.0111,5,7.58,0.009162952,0.7851181,110L,2.112,97.888
Pacific cod,EFH18/19-110,Cook Bay,EG South,7/16/2018,July,2018,197,10.9,30.9,beach seine,0,67,62,2.3368,I,0.0169,4,4.96,0.008681358,0.7667877,111L,4.263,95.737
