"","Month","Season","Year","Sample","polycheate","Gammarid","Caprellidae","decapod","isopoda","shrimp","Corphiidae","euphasids","harp_cope","cumacea","NMDS1","NMDS2","NMDS3"
"1","Aug","Summer",2020,285,0,100,0,0,0,0,0,0,0,0,-0.153653610075718,0.862774973997809,-0.952733134493047
"2","Aug","Summer",2020,279,0,100,0,0,0,0,0,0,0,0,-0.153653610075718,0.86277497399781,-0.952733134493046
"3","Aug","Summer",2020,283,0,100,0,0,0,0,0,0,0,0,-0.153653610075718,0.86277497399781,-0.952733134493047
"4","Aug","Summer",2020,269,0,100,0,0,0,0,0,0,0,0,-0.153653610075717,0.86277497399781,-0.952733134493046
"5","Aug","Summer",2020,276,0,82.4,17.6,0,0,0,0,0,0,0,-0.378387632239856,0.748723074999322,-0.577087830854085
"6","Aug","Summer",2020,268,0,40.5,23.3,36.2,0,0,0,0,0,0,-0.868082694686823,0.480306449831905,-0.476973836702082
"7","Aug","Summer",2018,124,0,69.3,0,0,30.7,0,0,0,0,0,-0.0429573783063382,1.05743680146551,-0.602987275771778
"8","Aug","Summer",2018,117,0,0.1,13.7,0,86.2,0,0,0,0,0,0.0659490272281931,0.680717783407979,1.27566829888404
"9","Aug","Summer",2018,120,0.4,99.4,0,0,0,0.2,0,0,0,0,-0.0456722176258499,0.822217164865208,-0.936210702208776
"10","Aug","Summer",2020,274,86.4,0,6.7,0,0,0,6.9,0,0,0,1.01856923063442,0.0350958226581825,0.443445886161778
"11","Aug","Summer",2020,278,46.3,41.8,0,0,0,0,11.9,0,0,0,0.624780227422876,0.51880819528507,-0.246591933799062
"12","Aug","Summer",2018,134,0,0,66.2,0,0,14.6,19.2,0,0,0,-0.754939013218419,0.397506833154427,0.951870038205593
"13","Aug","Summer",2018,131,0,0,70.6,0,0,0,29.4,0,0,0,-0.739228043540012,0.290090554231985,1.00723437258545
"14","Aug","Summer",2018,116,0,9.4,0.4,0,0,0,90.2,0,0,0,0.267058593590096,1.35020721316583,0.802748349924088
"15","Aug","Summer",2018,119,0,3,0,0.6,0,4.2,92.2,0,0,0,0.282430240518064,1.35544722722076,0.997872956763243
"16","Aug","Summer",2018,121,0,0,0,0,0,0,100,0,0,0,0.343314058086068,0.973965058189448,1.92946742095495
"17","Aug","Summer",2018,132,100,0,0,0,0,0,0,0,0.1,0,1.23545876004333,-0.152828502986548,0.157898496993205
"18","Aug","Summer",2018,126,0,1.2,81.5,0,0,0,17.2,0,0.1,0,-0.735709744394956,0.13520456815511,0.85661814075328
"19","Aug","Summer",2020,284,17.6,81.3,0,0,0,0,1.1,0,0.1,0,0.204723896620998,0.602923501243982,-0.717062364371614
"20","Aug","Summer",2020,270,0,0,89.2,10.7,0,0,0,0,0.1,0,-1.05757052010731,0.0695007089604481,0.632809044333309
"21","Aug","Summer",2020,271,0,0,99.7,0,0,0,0,0,0.3,0,-1.01428230773859,0.0655623561530666,0.757564044980003
"22","Aug","Summer",2020,286,0,99.6,0,0,0,0,0,0,0.4,0,-0.124033634784634,0.675020361578274,-0.926077169888513
"23","Aug","Summer",2020,275,0,0,99.2,0,0,0,0,0,0.8,0,-0.983711203533657,0.0746492315672055,0.783543260927694
"24","Aug","Summer",2020,280,0,1,98,0,0,0,0,0,1,0,-0.935496482372075,0.11992768896955,0.749738647626379
"25","Aug","Summer",2018,125,89.5,0,0,0,8.3,0,0,0,2.1,0,1.16694107050984,-0.153038807519209,0.275538650084375
"26","Aug","Summer",2020,267,0,97,0,0,0,0,0,0,3,0,-0.14754194295601,0.627527786178516,-0.936465229424862
"27","Aug","Summer",2020,282,0,0,0,0,0,0,91.1,0,8.9,0,0.195304839526276,-1.03396989826728,1.20092770841808
"28","Aug","Summer",2020,281,0,72.1,13,0,0,0,0,0,14.9,0,-0.342288418227748,0.317110590125678,-0.660091541014958
"29","Aug","Summer",2020,272,0,0,0,0,83.3,0,0,0,16.7,0,0.129026419229566,-1.24343785931152,0.895745207640044
"30","Aug","Summer",2018,133,0,0,57.5,0,0,0,23.4,0,19.2,0,-0.697326133369745,-0.338201892648279,0.663188313712044
"31","Aug","Summer",2020,277,0,0,0,0,0,0,0,0,100,0,-0.294598384966359,-1.36324995289888,-0.491917161217174
